,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Бег20,3.7,3.79,3.84,3.79,3.78,3.72,3.77,3.66,3.8,3.8,3.74,3.78,3.78,3.73,3.81,3.77,3.71,3.77,3.86,3.7
Восмерки,42.64,42.97,42.79,43.35,44.38,41.72,41.67,42.86,42.48,42.96,43.83,43.17,43.21,43.41,41.21,43.48,42.17,42.11,42.42,42.32
Комбинированное,1.15,1.2,1.15,1.21,1.03,1.28,1.23,1.16,1.11,1.12,1.06,1.2,1.16,1.12,1.19,1.14,1.11,1.05,1.12,1.14
СкоростнойБег100,49.19,48.58,49.91,50.49,49.58,49.37,48.97,50.1,48.99,50.12,49.99,50.96,49.12,49.93,48.51,50.63,48.75,49.92,48.67,49.4
ПрыжокВысота,35.38,35.71,36.57,35.57,36.13,35.94,36.82,35.11,36.05,36.27,37.29,35.99,36.42,37.01,36.41,36.94,36.19,35.65,36.72,36.38
ПрыжокДлина,172.07,171.79,173.92,173.83,178.53,170.6,178.61,182.72,169.38,173.91,182.57,175.01,177.07,175.24,182.52,182.01,175.06,174.81,168.45,178.75
БрюшнойПресс,35.0,36.0,35.0,36.0,35.0,37.0,35.0,35.0,35.0,36.0,36.0,35.0,36.0,36.0,35.0,34.0,35.0,36.0,35.0,35.0
Отжимания,15.0,15.0,15.0,16.0,15.0,18.0,16.0,14.0,15.0,17.0,15.0,15.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0
Подтягивания,15.0,16.0,16.0,14.0,17.0,16.0,15.0,15.0,16.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,16.0,15.0,17.0,16.0
Бег1000,3.92,3.95,3.9,3.87,3.97,3.9,3.95,3.95,3.83,3.96,3.87,3.9,4.09,4.06,4.05,3.99,3.89,3.98,3.89,3.93
БроскиМяча,24.0,25.0,23.0,24.0,25.0,24.0,25.0,23.0,26.0,24.0,24.0,23.0,25.0,24.0,26.0,24.0,23.0,25.0,24.0,23.0
БросокМяча,7.47,7.14,9.05,8.37,6.8,6.83,6.97,6.89,7.41,7.18,6.84,7.05,7.62,8.1,8.23,6.67,6.58,7.33,6.76,6.42
ВедениеМяча,16.0,17.0,17.0,18.0,18.0,17.0,17.0,16.0,18.0,17.0,19.0,17.0,17.0,18.0,17.0,18.0,18.0,17.0,17.0,18.0
ОценкаВремени,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
ПередачиМяча,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
ШтрафныеБроски,47.12,47.92,49.05,46.63,47.47,48.19,47.78,46.57,47.56,46.83,47.32,47.44,48.07,47.81,47.86,48.05,48.2,48.47,48.92,46.62
ВедениеМячаНаправление,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0
ПередвижениеЗащитнаяСтойка,1.35,1.26,1.34,1.36,1.3,1.22,1.39,1.25,1.31,1.19,1.43,1.29,1.27,1.39,1.38,1.3,1.23,1.37,1.43,1.44
ЧелночныйБег,13.83,12.91,13.45,13.3,15.02,12.85,12.87,14.96,14.03,12.11,13.01,12.63,13.3,11.2,12.65,13.13,12.87,13.65,12.65,12.67
Динамометрия,35.43,35.61,35.73,35.69,35.25,37.2,35.27,35.97,35.4,34.85,36.61,32.34,36.37,33.33,32.9,36.02,35.45,32.41,36.28,34.84
ЧастотаДыхания,17.0,16.0,17.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0
ПробаШтанге,50.49,52.23,54.38,48.49,52.17,49.87,50.48,51.34,51.23,50.65,48.46,52.46,54.48,49.11,49.05,54.36,47.44,52.13,51.73,49.02
ПробаГенчи,39.8,43.98,44.93,35.5,44.11,43.42,40.15,42.03,47.51,35.97,43.22,38.51,38.2,39.67,47.77,39.46,40.01,43.89,44.24,42.11
ЕмкостьЛегких,3376.0,3455.0,3282.0,3329.0,3164.0,3316.0,3450.0,3327.0,3353.0,3346.0,3290.0,3361.0,3527.0,3457.0,3428.0,3266.0,3059.0,3266.0,3413.0,3271.0
