,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Бег20,3.51,3.49,3.54,3.52,3.52,3.49,3.53,3.52,3.47,3.52,3.53,3.52,3.51,3.52,3.49,3.49,3.51,3.51,3.51,3.51
Восмерки,48.88,49.33,49.12,49.12,49.92,48.1,48.51,49.98,50.01,48.99,50.1,50.85,48.35,48.64,49.31,49.2,48.8,49.29,48.0,48.15
Комбинированное,1.04,1.08,1.07,1.07,1.09,1.08,1.05,1.11,1.06,1.14,1.08,1.06,1.0,1.09,1.05,1.02,1.07,1.1,1.04,1.05
СкоростнойБег100,45.59,45.3,46.04,45.69,46.12,44.89,45.28,45.7,45.47,44.76,43.97,44.4,45.13,43.74,45.95,45.41,45.79,44.31,45.5,44.73
ПрыжокВысота,42.51,43.12,42.12,43.29,41.54,41.44,42.37,42.52,42.82,42.35,42.29,42.84,42.04,42.51,42.86,43.13,43.4,43.21,42.62,42.72
ПрыжокДлина,193.31,190.4,175.28,186.16,183.11,203.43,195.17,185.59,187.52,198.38,190.65,178.91,188.07,195.81,180.57,190.28,192.45,181.18,182.76,176.07
БрюшнойПресс,41.0,42.0,41.0,42.0,41.0,39.0,42.0,42.0,42.0,42.0,42.0,41.0,40.0,41.0,43.0,41.0,41.0,39.0,43.0,40.0
Отжимания,18.0,18.0,17.0,17.0,18.0,18.0,19.0,18.0,19.0,19.0,17.0,18.0,19.0,18.0,19.0,20.0,18.0,17.0,18.0,19.0
Подтягивания,20.0,18.0,19.0,19.0,19.0,20.0,18.0,20.0,17.0,18.0,18.0,17.0,18.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0
Бег1000,3.36,3.37,3.42,3.44,3.41,3.46,3.47,3.43,3.39,3.4,3.41,3.36,3.35,3.47,3.36,3.48,3.39,3.39,3.38,3.42
БроскиМяча,27.0,27.0,27.0,29.0,27.0,27.0,29.0,27.0,28.0,27.0,27.0,28.0,28.0,28.0,27.0,28.0,27.0,27.0,27.0,27.0
БросокМяча,9.61,8.08,7.22,7.41,7.6,7.38,6.27,7.48,7.48,8.13,7.32,7.34,8.24,9.14,8.89,7.9,7.51,7.54,7.58,6.91
ВедениеМяча,19.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,20.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0,21.0,21.0,22.0
ОценкаВремени,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
ПередачиМяча,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,11.0,8.0,14.0,8.0,8.0,8.0
ШтрафныеБроски,53.55,54.57,55.73,55.17,55.2,52.97,54.32,55.59,53.24,55.03,54.11,56.15,55.36,54.16,54.92,56.29,55.21,54.42,54.11,54.01
ВедениеМячаНаправление,9.0,7.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
ПередвижениеЗащитнаяСтойка,1.07,1.12,1.11,1.17,1.11,1.16,1.13,1.21,1.15,1.15,1.16,1.12,1.09,1.18,1.14,1.07,1.07,1.2,1.15,1.16
ЧелночныйБег,11.39,10.45,11.18,11.39,10.5,12.06,11.64,10.28,12.97,10.99,9.27,11.31,10.87,11.93,11.05,10.21,12.13,11.72,12.07,11.07
Динамометрия,37.2,37.21,37.02,37.35,36.97,40.03,38.05,37.96,35.37,40.49,37.15,37.19,40.91,34.82,38.23,38.04,37.69,35.9,38.74,39.48
ЧастотаДыхания,15.0,16.0,15.0,15.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,16.0
ПробаШтанге,56.64,55.52,52.99,53.45,55.32,57.0,56.31,58.9,52.79,56.03,55.03,53.71,59.81,54.58,57.77,52.97,62.48,55.37,52.94,57.54
ПробаГенчи,47.09,52.44,45.15,45.44,49.01,48.22,46.74,46.25,51.72,45.46,46.45,47.83,47.91,50.47,49.48,40.88,46.18,49.31,47.6,43.61
ЕмкостьЛегких,3571.0,3565.0,3563.0,3552.0,3717.0,3536.0,3528.0,3629.0,3541.0,3634.0,3723.0,3580.0,3788.0,3621.0,3698.0,3675.0,3758.0,3691.0,3622.0,3765.0
