,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Бег 20 м (с),3.963250583258966,3.9945597259633803,3.969604703656314,3.9701203996286742,3.9210613361770035,3.9467204618904725,3.8676264079406493,3.9071376572059933,3.9622852592198,3.8869114960410194,3.924494323660297,3.9009687442600636,3.879827101716348,3.880220025133996,3.9260874572445053,3.966145583092919,3.96774926932839,3.9346755871094414,3.9542796380929395,3.9396351769616467
Десять восьмерок (сек),37.48338936661792,37.9406136902691,37.85186829339691,35.41066733472801,37.63889940715175,37.98808784605294,37.72351186810643,37.13396047461777,35.71202522316132,37.6076824907951,37.26310343394183,37.489433823399715,37.830564609640966,37.31008461031693,37.34825851289386,36.3884260133347,36.9732209362595,37.52747084806932,37.670368593162166,37.41017799823169
Комбинированное упражнение (мин),1.1579325492947283,1.083012134142799,1.2408286755539457,1.214892270884836,1.1507707389598765,1.0342748625864935,1.3076363758559577,1.284286324645417,1.3562554962341122,1.1841923270215913,1.1790444735237282,1.190907220223646,1.189127696171686,1.3086618873869893,1.1735411335145567,1.2165152225539797,1.258939588083689,1.2700687968731543,1.1265305453474355,1.1310150455510377
Переменный скоростной бег 100 м (сек),51.997142545495585,52.651701017196004,52.555834533025745,50.33267227726929,53.036712061844995,51.86467529082786,52.006514532105044,51.91023694807719,52.01065660300511,53.58655663136759,52.5014505822218,51.609281274427694,53.07604297433446,53.224339775243664,52.27059824336758,51.472060912018186,51.85669074035579,51.804511209950164,51.25726245261883,52.7223918950519
Прыжок в высоту с места (см),31.13905816839661,30.98263437256274,31.69496623061322,30.91853617875447,31.852626718449756,31.23927829401859,30.93519456072626,31.54900571207681,30.827749038037453,31.219380567550868,31.821619748814026,31.40919011566549,31.484765225990895,31.572203765078978,31.759779111964324,30.782164120940838,30.421955280230502,30.60025781166589,31.056545011441983,31.618094116144768
Прыжок в длину с места (см),184.0680336933708,168.64550419783885,185.32966823465864,168.5238644253538,173.54095356042572,179.46165960779936,174.9318498154618,181.67592546022976,168.88125147919695,162.11013695954676,165.01219635039334,172.27149744235507,172.18098206865406,174.42515679583008,168.53447874935196,171.73550147090955,179.5529932195408,178.4327727498661,159.46446101755427,178.64013280737456
Брюшной пресс (раз),31.651450364549085,30.903899971384025,31.53287289539364,32.788523368910965,31.376476526934397,34.02021534427153,31.587594858513487,32.36531569433156,31.979395893541554,31.390830078422248,32.958372946675524,33.47513532906744,34.00165108732282,32.06325917315398,32.43971449832614,32.19524832597862,31.726324719524737,33.282232608460696,31.751338854282523,33.11945447463529
Отжимания от пола (раз за 30 сек),13.610222424978259,12.018543057546248,11.91479564220728,12.945754926161186,12.107783725170775,11.731410779394126,12.794552293571698,12.133710833638304,11.787228998702556,12.948647035639434,13.00588089760274,12.238171603151564,12.556888303913773,13.423453091539496,12.503427503212908,12.282478341512894,12.320726972909231,13.721485102787286,11.99237384054117,11.619808461398588
Подтягивание на низкой перекладине (раз),11.904605173919997,11.137264108070847,11.354751513396653,12.64600171221571,12.635366597634874,11.439610802758096,11.270036384851554,11.262674892400282,11.668771113943658,11.248511701906146,12.456628755336814,10.739645763265735,10.576088147935959,11.370737865323171,9.444059590526695,11.696407487057797,9.805067829004464,10.474817480837213,11.835372629211955,10.446602082122713
Бег 1 000 м (мин),4.399188087385006,4.255886355164022,4.067504927870672,4.257733743322329,4.402165743035002,4.3016015416266065,4.24674322007495,4.422247308073615,4.31696398057609,4.35321902854363,4.353446877295368,4.229872871256773,4.335551355227267,4.334166219508962,4.349608639698044,4.260094339303803,4.098893190350781,4.367487360017752,4.218332563909575,4.431892167345934
Броски мяча в корзину с разных точек 40 бросков (кол. попаданий),20.38831041092373,20.48760220268496,19.968215296001713,19.56204230657162,20.885409617969135,20.001728019515426,20.548171143438047,19.46325208984897,19.4835543082475,19.868556757513414,21.067787726702278,20.236812487020995,20.27211771850325,20.12684161658084,19.842358512098084,19.120538077216676,21.086459974085184,22.025118568632497,21.080736192275328,20.463354569891035
Бросок набивного мяча (м),6.575362329124544,7.1529911498100205,6.2948305111642435,7.638489399471996,5.06373994575298,6.032141955734059,7.376923472122333,7.397223750628511,7.424667807562466,6.520225990830637,6.588296751736563,7.2787682413938946,7.278253413541077,7.251761408614844,6.33702285644019,5.979822457531823,6.210825705963068,6.257491618000065,6.756946392037329,6.960039630283901
Ведение мяча с закрытыми глазами в кругу (к-во кас),15.64877853728093,15.646979857330768,14.864450483288003,15.090897293876246,15.582392390219834,14.848016730970926,13.686063609165744,14.40344282336532,15.691163410965054,16.147097617879083,15.920747925765697,14.677168483154054,15.30984966239234,14.666025106319024,15.390364381997845,15.49700553495445,15.085335808202883,15.535310336893295,15.513579581443729,15.476300579965415
Оценка ощущения времени (балл),2.4496054220847343,2.4277562964548025,2.4423281003043504,2.420702435282546,2.4002370901337713,2.454702099139438,2.4295410068735674,2.4226576932560766,2.4669035364272447,2.446295364187225,2.440663844009174,2.4471176881001444,2.4212235611348865,2.499362643478354,2.4257219423956493,2.416598312425293,2.4287411503927574,2.4006990823205436,2.410870390471337,2.3930488781331585
Передачи мяча (кол-во),4.599338845130915,4.557842669731474,4.581628259066674,4.586729160237267,4.561859228987657,4.600221078665249,4.58106753693709,4.52670530658607,4.5395078933153865,4.583101754527786,4.543469740383539,4.573810302455987,4.534791334084808,4.559256188684636,4.574209057074183,4.60263269007639,4.587010263246959,4.54805783106402,4.57443380589897,4.57174828037171
Штрафные броски %,41.319417930997545,41.31324660746151,41.07563150890545,40.605828503528386,39.87094249142134,40.55346409170953,42.34790119390119,40.48196506195269,40.00487073001519,40.786578475244774,40.41356903383464,41.20117438889661,39.1109909989889,41.308712616562474,40.96286729076918,41.10226521236511,41.95711451624513,40.70504842419511,40.22374407551975,40.91016698453674
Ведения мяча с изменением направления и бросками (кол.попад),3.759451664549745,4.933099643540416,4.412636997441351,4.8166594526179045,3.4581512844877698,3.5435512321772507,4.168046352358546,5.099614528837953,3.9566489214524654,5.292066309198566,3.7140559156175055,5.042615943679142,5.218816263770724,4.639784528724592,4.346599386901953,5.124306252124695,3.4259091648906845,4.973646615761467,3.848068325224636,4.138709621614687
Передвижение в защитной стойке 100 м (мин),1.5380591505493608,1.4325906902616943,1.477618928563532,1.556135891499404,1.3897372693639938,1.4538912781694182,1.491216335005414,1.411050758455609,1.4779819382466406,1.391674874953782,1.506673386557592,1.4247669690816975,1.5125748013122893,1.521686392465563,1.4617528075549358,1.5400548824958218,1.3516592119124144,1.4930423776941935,1.4701563752019868,1.4486242983805149
Челночный бег 3х10 м (сек),11.99390170832124,12.687531334774798,14.122454013926326,13.809279503626819,12.43073149609023,13.628497331480768,13.502171329363911,13.772765686224059,13.499600946517972,12.112178487209963,14.057891970301421,14.382411912420235,12.128217243426153,13.347723004167655,13.85084435430418,13.595230762109546,13.352212500727127,13.162680942552006,13.684110385638062,12.287282911342812
Динамометрия доминантной рукой (кг),33.1085254220805,32.31540931520569,32.626393884390275,32.8844178780216,34.72099562315562,33.89050861324716,31.80792228931037,31.642176202258273,31.958925166810047,32.585386485218685,33.93411277233733,32.15511205001926,33.90509761304723,33.13713350862773,31.712368113358313,34.29095007650636,34.138167095205326,33.34178625298201,37.22119326996494,35.40770405340833
Частота дыхания (кол-во раз),16.046237155089546,15.818923995971522,16.544128903579345,15.69943087685077,15.90101867471639,16.034498475413024,15.577549830103216,15.231139891891775,14.818902472539499,15.92728809523731,15.818924693157681,16.444372880574203,14.898469093753366,15.089387408620748,15.12456549727552,15.247437991171743,15.844556587836287,16.10968776306394,15.68223203559825,15.831745837220799
Проба Штанге (с),47.385572933498004,46.07242596593274,46.36813222574451,49.55168411694451,48.89300138446275,45.07726946036536,50.86614096452526,47.562819946078754,46.760855272910504,45.81516141949958,48.68476977465333,42.896648701150006,49.70348412090932,45.069452865675174,46.812102439565415,47.29462623975241,49.93580959721129,45.8041175886871,47.2364974597269,47.497427270616654
Проба Генчи (с),30.262813881259525,35.52063559650111,33.98787919190747,32.033482258106524,32.17603512073061,32.755094971815154,32.70374132724116,34.85823386092539,33.18401194126386,31.028527228368077,32.84780626983963,32.93794735229711,33.62498049241894,33.50840856160141,32.1725687777489,33.07149488494885,31.246481779012235,28.416516069055312,31.77135460413091,29.873681869011545
Жизненная емкость легких (мл),3100.2202223961367,3252.6461573874944,2973.632730026982,2994.8878583012547,3219.341366538075,3303.469253551314,3006.025795982585,3416.9962787767854,3169.633868403715,2929.3063749947382,3248.40454713838,3296.5285262367324,3123.558130982967,3062.8484977933576,3069.5038118227667,3421.656206858354,3314.630729911587,3085.871389800638,3188.932628076713,3039.378609608579
